Scene,Config,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Default,TimelyRate,0.988386023294509,0.00438926640701623,0.991813643926789,0.00344196137102871,0.00342762063227946,0.342762063227942,0.00271537283454424,0.00413986843001468,4.00568533898138e-08,p = 4.006e-08,1.20170560169441e-07,p = 1.202e-07,***,***,0.748792270531401,0.776549307278169,Below1pp,8.81250774575904e-07,p = 8.813e-07,***
10014,Default,LossRate,0.0116139767054908,0.00438926640701635,0.0081863560732113,0.00344196137102884,-0.00342762063227955,-0.342762063227955,-0.00413986843001479,-0.0027153728345443,4.00568533898138e-08,p = 4.006e-08,1.20170560169441e-07,p = 1.202e-07,***,***,-0.748792270531401,-0.77654930727816,Below1pp,8.81250774575904e-07,p = 8.813e-07,***
10014,Default,AvgDelay,0.0204429543282148,0.00175308443189131,0.017353066814409,0.00120657982170193,-0.00308988751380574,-15.1146818810879,-0.0033863346396224,-0.00279344038798909,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-0.987450980392157,-1.68191029419228,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,Default,AvgTxCost,2.09261464226289,0.038588906195628,2.00055241264559,0.031027786794728,-0.092062229617303,-4.39938762531785,-0.0947250023625723,-0.0893994568720337,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-5.57897979972764,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,Default,EmgTimely,1,0,1,0,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,ForestGeometry,TimelyRate,0.789084858569051,0.00498102930540753,0.799400998336106,0.00503293758701834,0.0103161397670549,1.0316139767055,0.00972940365323035,0.0109028758808794,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,2.83714675499902,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,LossRate,0.210682196339434,0.0050857603943881,0.200499168053245,0.00512295271268192,-0.0101830282861896,-1.01830282861896,-0.0107612781000961,-0.00960477847228317,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-2.84163865452174,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgDelay,0.0846764159776404,0.00199313238294799,0.0801658886685875,0.00193947242902532,-0.00451052730905295,-5.32678108417344,-0.00476588675952776,-0.00425516785857815,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-2.85024888767365,Meaningful,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,AvgTxCost,2.08804725457571,0.0563175435728619,2.28425324459235,0.047505662547379,0.19620599001664,9.39662594257281,0.192331054311137,0.200080925722144,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,8.17062285186731,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10014,ForestGeometry,EmgTimely,0.02,0.0642416074439621,0.0233333333333333,0.0753675799587829,0.00333333333333332,0.333333333333332,-0.000470059210666592,0.00713672587733323,0.317310527664727,p = 0.3173,0.317310527664727,p = 0.3173,n.s.,n.s.,1,0.141421356237309,Below1pp,1,p = 1,n.s.
10006,Default,TimelyRate,0.988219633943428,0.00426323740840408,0.989983361064892,0.00301587577978752,0.0017637271214642,0.176372712146422,0.0011255611784771,0.0024018930644513,0.00161349157766688,p = 0.001613,0.00484047473300064,p = 0.00484,**,**,0.559663865546218,0.445969515339438,Below1pp,0.027429356820337,p = 0.02743,*
10006,Default,LossRate,0.0110815307820299,0.00415273274134778,0.00931780366056572,0.00304403339074535,-0.00176372712146424,-0.176372712146423,-0.00240189306445135,-0.00112556117847713,0.00161349157766688,p = 0.001613,0.00484047473300064,p = 0.00484,**,**,-0.559663865546218,-0.445969515339441,Below1pp,0.027429356820337,p = 0.02743,*
10006,Default,AvgDelay,0.0222814767976038,0.00136454454882696,0.0239986346904632,0.000939370565586915,0.00171715789285946,7.7066610461122,0.00149944480895965,0.00193487097675926,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,0.902745098039216,1.27272068960276,Meaningful,1.1125369292536e-306,p < 1e-15,***
10006,Default,AvgTxCost,2.72548286189684,0.01396343341431,2.84895673876871,0.00762516267387652,0.123473876871877,4.53034868052494,0.121597733728303,0.12535002001545,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,10.6198043867186,SeeDelta,1.1125369292536e-306,p < 1e-15,***
10006,Default,EmgTimely,0.995065789473684,0.0034691783506188,0.995065789473684,0.0034691783506188,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,ForestGeometry,TimelyRate,0.707853577371048,0.00443536534083357,0.713078202995008,0.00505534016184772,0.00522462562396002,0.522462562396009,0.00478391374614216,0.00566533750177787,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,1.91296852258442,Below1pp,1.1125369292536e-306,p < 1e-15,***
